feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
immune_E_original_firstorder_Maximum_mean,immune,E,firstorder,Maximum,mean,0.0,1e-06,0.0,0.0,12.566,492,494.0,474.0,503.0,0.0,0.0,0.0309,0.642378,higher feature -> higher survival_target
necrosis_E_original_firstorder_Maximum_std,necrosis,E,firstorder,Maximum,std,0.0,0.0,-0.0,0.0,20.343,493,485.0,472.0,499.0,0.0,0.0,0.0031,0.962872,higher feature -> higher survival_target
necrosis_E_original_firstorder_Range_mean,necrosis,E,firstorder,Range,mean,0.0,0.0,-0.0,0.0,17.416,494,485.0,472.0,500.0,0.0,0.0,-0.0031,0.962872,higher feature -> lower survival_target
necrosis_E_original_firstorder_Range_std,necrosis,E,firstorder,Range,std,0.0,0.0,-0.0,0.0,17.505,495,485.0,472.0,500.0,0.0,0.0,0.0031,0.962872,higher feature -> higher survival_target
necrosis_E_original_firstorder_Maximum_mean,necrosis,E,firstorder,Maximum,mean,0.0,0.0,-0.0,0.0,22.663,496,485.0,473.0,498.0,0.0,0.0,-0.0031,0.962872,higher feature -> lower survival_target
immune_H_original_firstorder_Maximum_std,immune,H,firstorder,Maximum,std,0.0,0.0,0.0,0.0,,497,489.0,473.0,501.0,0.0,0.0,,,undetermined
lamina_H_original_firstorder_Range_mean,lamina,H,firstorder,Range,mean,0.0,0.0,0.0,0.0,,498,488.0,473.0,502.0,0.0,0.0,,,undetermined
lamina_H_original_firstorder_Range_std,lamina,H,firstorder,Range,std,0.0,0.0,0.0,0.0,,499,487.5,473.0,501.0,0.0,0.0,,,undetermined
lamina_H_original_firstorder_Maximum_mean,lamina,H,firstorder,Maximum,mean,0.0,0.0,0.0,0.0,,500,489.0,473.0,502.0,0.0,0.0,,,undetermined
lamina_H_original_firstorder_Maximum_std,lamina,H,firstorder,Maximum,std,0.0,0.0,0.0,0.0,,501,489.0,473.0,502.0,0.0,0.0,,,undetermined
immune_H_original_firstorder_Maximum_mean,immune,H,firstorder,Maximum,mean,0.0,0.0,0.0,0.0,,502,489.0,473.0,501.0,0.0,0.0,,,undetermined
immune_H_original_firstorder_Range_std,immune,H,firstorder,Range,std,0.0,0.0,0.0,0.0,,503,491.0,474.0,503.0,0.0,0.0,,,undetermined
immune_H_original_firstorder_Range_mean,immune,H,firstorder,Range,mean,0.0,0.0,0.0,0.0,,504,490.0,474.0,503.0,0.0,0.0,,,undetermined
